Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
37,Yes,Travel_Rarely,1101,Human Resources,21,4,Other,1,317,1,Male,95,3,4,Human Resources,2,Divorced,5999,9370,7,Y,No,5,4,4,80,3,17,5,4,1,1,1,1
26,Yes,Travel_Rarely,470,Human Resources,18,1,Other,1,318,1,Male,53,3,4,Human Resources,1,Married,5844,2174,8,Y,Yes,22,4,2,80,0,8,5,2,8,2,1,4
34,Yes,Travel_Rarely,386,Sales,22,1,Human Resources,1,319,1,Male,92,2,5,Sales Representative,1,Single,16579,24777,0,Y,Yes,15,4,2,80,1,13,1,1,10,1,1,9
31,No,Travel_Frequently,919,Human Resources,20,5,Medical,1,320,2,Male,88,2,3,Manager,1,Divorced,7351,4728,6,Y,No,13,4,3,80,1,9,5,2,9,5,4,7
59,Yes,Non-Travel,1411,Sales,9,2,Marketing,1,321,2,Male,41,2,1,Sales Representative,3,Married,12792,13888,1,Y,Yes,15,4,1,80,1,41,3,1,4,4,4,2
24,Yes,Travel_Frequently,751,Sales,12,5,Other,1,322,2,Male,79,4,4,Sales Manager,3,Single,7595,7920,9,Y,Yes,16,4,1,80,0,4,5,2,4,4,1,1
54,No,Non-Travel,568,Research & Development,15,3,Other,1,323,3,Female,69,4,4,Healthcare Representative,1,Single,19058,22828,5,Y,Yes,7,4,1,80,3,35,5,1,17,5,4,7
28,No,Travel_Rarely,114,Sales,16,3,Human Resources,1,324,4,Male,84,1,4,Sales Executive,2,Single,8231,19508,8,Y,No,16,3,2,80,1,11,0,2,11,2,2,1
50,Yes,Travel_Rarely,642,Sales,30,4,Technical Degree,1,325,3,Female,57,2,3,Sales Executive,1,Single,11618,2073,3,Y,No,25,4,4,80,0,32,0,4,4,4,4,4
47,No,Travel_Rarely,414,Research & Development,1,3,Life Sciences,1,326,3,Female,82,2,2,Research Director,2,Married,18853,6058,1,Y,No,20,3,4,80,3,28,2,4,16,4,1,9
29,No,Travel_Frequently,373,Sales,14,4,Other,1,327,2,Female,80,2,2,Sales Executive,4,Single,3319,15797,0,Y,No,15,3,3,80,2,9,3,1,7,2,2,5
26,No,Non-Travel,1489,Human Resources,26,5,Other,1,328,4,Female,73,4,2,Manager,3,Married,3705,16079,0,Y,No,24,3,3,80,0,5,0,4,5,5,0,4
27,Yes,Non-Travel,569,Sales,16,3,Life Sciences,1,329,2,Male,45,3,2,Sales Manager,2,Single,6873,6335,1,Y,Yes,17,3,4,80,3,10,4,1,10,10,2,4
21,Yes,Travel_Rarely,844,Human Resources,16,5,Marketing,1,330,1,Female,65,3,2,Human Resources,2,Married,10822,13502,0,Y,No,18,3,1,80,2,3,0,1,3,1,1,2
48,Yes,Travel_Rarely,840,Research & Development,10,1,Technical Degree,1,331,2,Female,97,3,4,Research Director,4,Divorced,13815,21815,1,Y,Yes,16,3,1,80,2,26,1,1,1,1,1,1
59,No,Travel_Rarely,956,Research & Development,24,4,Life Sciences,1,332,4,Male,100,3,5,Healthcare Representative,1,Single,8281,10274,7,Y,No,22,4,4,80,2,38,3,1,18,3,0,3
50,No,Travel_Frequently,1143,Human Resources,2,5,Marketing,1,333,2,Male,79,3,3,Human Resources,2,Single,16344,20431,3,Y,Yes,17,4,1,80,0,33,4,2,13,8,1,3
18,No,Travel_Frequently,1409,Sales,4,5,Marketing,1,334,2,Female,48,1,3,Sales Executive,2,Divorced,3280,11101,2,Y,No,9,4,1,80,2,1,5,1,1,1,1,1
41,Yes,Travel_Rarely,1200,Human Resources,2,5,Marketing,1,335,4,Female,43,2,4,Human Resources,2,Single,2512,24548,0,Y,No,17,4,3,80,2,21,1,3,8,5,2,5
32,Yes,Non-Travel,735,Research & Development,27,2,Technical Degree,1,336,2,Female,50,1,2,Manufacturing Director,1,Married,2689,7823,2,Y,No,17,3,4,80,3,11,3,2,11,8,2,5
51,Yes,Non-Travel,392,Research & Development,27,1,Human Resources,1,337,2,Male,31,1,4,Manufacturing Director,2,Divorced,10770,2307,0,Y,Yes,8,4,4,80,0,34,6,4,2,2,2,2
48,No,Non-Travel,390,Human Resources,27,1,Human Resources,1,338,4,Male,30,4,5,Manager,2,Single,15608,9350,0,Y,No,5,3,3,80,0,26,1,3,18,5,1,9
25,No,Travel_Frequently,1186,Research & Development,11,1,Medical,1,339,3,Female,72,2,3,Research Director,3,Single,16045,21648,1,Y,No,10,4,3,80,0,5,2,1,3,1,1,3
34,No,Travel_Rarely,285,Research & Development,24,2,Other,1,340,3,Male,71,3,2,Research Director,4,Single,6740,6179,7,Y,No,10,4,4,80,3,12,5,4,4,4,4,4
58,No,Travel_Frequently,278,Sales,18,2,Technical Degree,1,341,3,Female,60,1,4,Sales Manager,4,Single,9187,13852,3,Y,No,5,3,2,80,3,39,0,1,3,3,3,3
26,Yes,Non-Travel,210,Sales,24,2,Human Resources,1,342,2,Female,43,4,2,Sales Executive,1,Married,14179,23716,2,Y,Yes,23,3,2,80,1,4,1,3,4,4,0,4
18,No,Travel_Rarely,1415,Human Resources,14,2,Technical Degree,1,343,4,Female,34,1,5,Human Resources,4,Single,3966,21797,5,Y,No,10,3,4,80,2,1,4,3,1,1,1,1
45,Yes,Travel_Frequently,741,Sales,2,1,Human Resources,1,344,4,Male,81,3,2,Sales Executive,2,Married,17643,14467,3,Y,Yes,10,3,3,80,3,26,0,1,6,6,1,6
39,No,Travel_Frequently,274,Human Resources,1,3,Medical,1,345,3,Male,35,1,1,Human Resources,1,Single,10820,20472,4,Y,No,20,3,3,80,1,18,2,1,18,4,0,4
50,No,Travel_Rarely,1076,Sales,29,4,Other,1,346,1,Male,34,4,1,Sales Executive,1,Married,14521,11506,8,Y,Yes,10,3,2,80,2,28,6,2,17,3,0,10
28,Yes,Non-Travel,299,Sales,29,2,Marketing,1,347,1,Female,31,4,5,Sales Representative,4,Married,18302,6673,6,Y,Yes,14,3,3,80,3,7,2,2,7,7,1,3
54,No,Travel_Rarely,687,Research & Development,25,1,Life Sciences,1,348,3,Female,81,4,3,Manufacturing Director,3,Married,13910,15403,7,Y,No,24,3,3,80,3,37,5,1,5,2,2,1
34,Yes,Non-Travel,1046,Research & Development,10,1,Other,1,349,1,Male,41,4,1,Healthcare Representative,1,Divorced,14721,13433,6,Y,No,19,4,2,80,1,13,3,1,13,7,1,4
39,No,Travel_Rarely,1263,Sales,15,3,Human Resources,1,350,4,Male,34,3,4,Sales Executive,4,Married,12491,21696,0,Y,Yes,17,3,2,80,0,21,1,1,5,5,2,4
45,No,Non-Travel,289,Research & Development,10,2,Life Sciences,1,351,3,Female,84,2,3,Research Scientist,4,Married,3761,13207,7,Y,Yes,14,3,4,80,3,26,4,4,17,4,4,3
45,No,Non-Travel,1039,Research & Development,24,5,Technical Degree,1,352,3,Female,48,4,5,Healthcare Representative,1,Divorced,6931,18365,9,Y,No,15,3,4,80,1,27,5,2,5,5,5,1
55,No,Travel_Frequently,133,Research & Development,13,2,Other,1,353,4,Male,68,4,5,Manufacturing Director,4,Single,13920,12058,3,Y,No,21,3,4,80,1,35,2,3,7,4,0,6
39,No,Travel_Frequently,283,Sales,14,4,Technical Degree,1,354,1,Male,32,4,5,Sales Executive,4,Single,5401,22193,6,Y,No,18,3,1,80,1,19,6,3,14,5,1,2
47,No,Travel_Frequently,729,Research & Development,23,2,Technical Degree,1,355,1,Female,83,4,4,Research Director,1,Single,10667,24062,6,Y,No,12,3,1,80,3,25,6,2,12,4,4,5
51,No,Non-Travel,925,Sales,20,2,Human Resources,1,356,1,Female,70,2,5,Sales Executive,2,Married,7692,18950,6,Y,No,10,4,1,80,3,29,6,4,19,7,2,7
28,Yes,Non-Travel,1399,Research & Development,20,1,Life Sciences,1,357,2,Female,75,3,1,Manufacturing Director,2,Single,16867,8113,8,Y,Yes,12,3,4,80,1,6,5,3,6,6,0,3
27,No,Non-Travel,525,Research & Development,5,5,Life Sciences,1,358,1,Male,80,4,5,Manufacturing Director,4,Divorced,13842,5298,4,Y,No,20,3,1,80,0,7,5,2,6,2,1,6
38,Yes,Non-Travel,621,Research & Development,11,2,Marketing,1,359,2,Female,45,1,5,Laboratory Technician,2,Single,19096,8319,5,Y,Yes,24,3,3,80,0,19,1,1,19,10,0,3
32,No,Travel_Rarely,919,Sales,23,2,Marketing,1,360,4,Male,54,3,2,Sales Representative,1,Divorced,18798,10195,8,Y,Yes,10,3,3,80,0,15,6,2,10,8,7,7
49,No,Travel_Frequently,442,Human Resources,13,4,Human Resources,1,361,3,Female,34,3,3,Manager,4,Married,16726,18756,6,Y,No,13,4,1,80,0,28,1,1,19,6,5,2
29,Yes,Travel_Rarely,576,Human Resources,4,1,Medical,1,362,1,Female,38,2,3,Manager,3,Single,12536,14635,0,Y,No,14,3,1,80,1,9,5,4,1,1,1,1
38,Yes,Non-Travel,683,Sales,4,1,Technical Degree,1,363,3,Male,32,4,3,Sales Executive,2,Single,2696,23091,7,Y,Yes,23,3,4,80,3,17,4,1,17,6,6,4
19,No,Travel_Rarely,1030,Human Resources,13,1,Technical Degree,1,364,1,Male,93,1,3,Manager,2,Married,11779,23007,1,Y,Yes,8,4,1,80,2,1,1,1,1,1,0,1
45,No,Travel_Frequently,640,Human Resources,28,1,Medical,1,365,2,Male,72,3,5,Manager,2,Single,4458,24541,0,Y,No,24,4,4,80,0,25,1,1,2,2,0,2
55,No,Travel_Frequently,706,Research & Development,16,4,Other,1,366,1,Female,40,2,5,Healthcare Representative,1,Divorced,10644,13567,7,Y,Yes,22,3,4,80,1,35,1,1,11,8,3,2
47,No,Travel_Rarely,844,Sales,23,4,Life Sciences,1,367,2,Female,79,4,5,Sales Executive,1,Single,9169,16825,7,Y,No,24,3,3,80,2,30,1,4,5,5,1,3
54,Yes,Travel_Rarely,342,Human Resources,6,4,Life Sciences,1,368,2,Male,100,2,2,Human Resources,4,Single,10702,4754,4,Y,No,16,4,4,80,0,32,0,3,16,9,7,6
24,Yes,Travel_Rarely,323,Sales,6,4,Other,1,369,1,Male,36,2,3,Sales Executive,1,Divorced,16207,23179,9,Y,Yes,12,3,1,80,1,4,1,3,4,4,4,4
35,Yes,Travel_Rarely,479,Sales,7,4,Technical Degree,1,370,2,Male,94,3,2,Sales Executive,2,Divorced,5088,24953,2,Y,Yes,24,4,3,80,2,14,1,1,12,5,4,1
47,No,Non-Travel,1067,Sales,6,4,Technical Degree,1,371,2,Male,44,2,2,Sales Executive,2,Single,10110,3480,0,Y,No,5,4,1,80,2,29,2,1,12,8,0,8
40,No,Travel_Rarely,1410,Sales,23,4,Marketing,1,372,3,Female,32,2,1,Sales Representative,4,Divorced,19016,6846,5,Y,No,18,3,1,80,2,22,4,2,20,8,1,5
23,No,Travel_Rarely,490,Human Resources,30,1,Marketing,1,373,4,Male,35,1,5,Manager,4,Married,12135,20989,5,Y,Yes,21,4,3,80,1,3,0,3,3,3,3,3
27,Yes,Travel_Rarely,679,Sales,16,2,Human Resources,1,374,4,Female,45,1,5,Sales Manager,3,Divorced,9121,3743,4,Y,Yes,20,4,1,80,1,5,2,1,5,1,1,1
36,Yes,Travel_Rarely,300,Human Resources,8,3,Medical,1,375,4,Male,63,2,4,Human Resources,3,Single,15078,11896,0,Y,Yes,24,4,2,80,0,17,2,2,12,4,4,7
30,Yes,Travel_Rarely,832,Human Resources,26,1,Marketing,1,376,4,Female,89,4,5,Manager,4,Married,18509,13606,6,Y,No,18,4,1,80,1,8,6,1,5,5,5,5
26,Yes,Non-Travel,211,Sales,25,5,Human Resources,1,377,1,Female,40,3,5,Sales Executive,3,Single,17080,3792,6,Y,Yes,13,3,4,80,2,5,6,3,5,1,1,5
55,No,Non-Travel,334,Research & Development,29,2,Human Resources,1,378,2,Male,38,1,4,Healthcare Representative,2,Divorced,8576,2001,2,Y,No,9,3,1,80,1,35,0,4,10,1,1,10
25,No,Travel_Frequently,449,Research & Development,20,4,Medical,1,379,4,Female,95,4,3,Healthcare Representative,3,Married,9886,24925,1,Y,No,22,3,3,80,3,6,4,1,5,1,1,3
35,No,Travel_Rarely,187,Sales,15,1,Technical Degree,1,380,1,Female,75,3,2,Sales Representative,2,Married,16564,6564,1,Y,No,19,4,3,80,0,17,2,2,13,1,1,1
29,No,Travel_Frequently,1279,Sales,10,5,Marketing,1,381,3,Male,94,2,2,Sales Manager,3,Married,7910,23591,6,Y,Yes,21,4,4,80,2,7,0,1,7,7,7,7
28,Yes,Travel_Frequently,1353,Human Resources,26,1,Technical Degree,1,382,3,Male,62,4,3,Manager,1,Single,4029,5751,3,Y,No,6,3,2,80,1,6,0,3,6,6,6,2
58,No,Non-Travel,1388,Sales,24,3,Technical Degree,1,383,3,Male,42,1,3,Sales Manager,4,Single,2794,8669,2,Y,No,6,3,1,80,1,39,1,3,17,4,1,10
31,Yes,Travel_Rarely,306,Human Resources,21,3,Marketing,1,384,1,Female,45,3,1,Human Resources,2,Divorced,11772,18341,6,Y,No,12,3,3,80,3,9,3,3,9,2,2,9
28,Yes,Travel_Rarely,166,Research & Development,20,5,Human Resources,1,385,1,Female,73,3,5,Healthcare Representative,2,Single,2982,15808,0,Y,Yes,13,3,2,80,2,10,6,3,4,4,4,4
22,No,Non-Travel,1078,Human Resources,9,1,Technical Degree,1,386,2,Male,68,1,5,Human Resources,4,Married,16139,9463,0,Y,No,5,3,1,80,3,1,0,4,1,1,1,1
26,Yes,Travel_Frequently,575,Research & Development,29,4,Human Resources,1,387,1,Female,41,4,4,Research Scientist,1,Divorced,9804,21287,5,Y,Yes,5,3,2,80,0,6,0,1,6,6,6,1
29,Yes,Travel_Frequently,521,Human Resources,13,3,Marketing,1,388,3,Female,93,3,3,Human Resources,3,Single,19814,13696,7,Y,Yes,12,4,2,80,1,12,2,3,4,2,1,4
44,Yes,Travel_Frequently,1431,Research & Development,18,1,Medical,1,389,3,Female,88,1,2,Healthcare Representative,3,Married,16427,5743,3,Y,Yes,5,4,4,80,2,22,6,3,12,3,0,4
57,No,Non-Travel,1209,Sales,13,1,Technical Degree,1,390,2,Female,74,3,1,Sales Representative,1,Married,3025,2851,2,Y,No,24,4,3,80,1,40,6,4,14,9,0,5
21,No,Travel_Rarely,370,Human Resources,19,4,Other,1,391,3,Male,31,2,5,Manager,3,Divorced,9806,11197,9,Y,No,13,3,4,80,3,3,4,1,3,3,3,3
60,Yes,Travel_Rarely,175,Research & Development,28,5,Life Sciences,1,392,1,Female,75,4,5,Research Director,1,Divorced,17284,17735,2,Y,No,25,3,3,80,2,41,0,3,15,1,1,1
35,Yes,Non-Travel,224,Human Resources,4,2,Medical,1,393,2,Female,63,1,2,Human Resources,3,Married,9469,10435,0,Y,No,5,4,1,80,0,14,4,1,14,8,5,1
22,Yes,Travel_Frequently,1435,Sales,14,3,Human Resources,1,394,3,Male,77,2,4,Sales Manager,1,Single,15373,17423,4,Y,Yes,14,3,3,80,0,1,4,2,1,1,1,1
31,No,Travel_Frequently,1276,Human Resources,2,5,Human Resources,1,395,4,Female,100,1,2,Manager,4,Divorced,18498,15699,2,Y,No,22,3,3,80,3,12,1,3,3,2,2,3
39,No,Travel_Rarely,1339,Sales,24,2,Technical Degree,1,396,2,Male,59,2,1,Sales Manager,4,Married,17864,16711,6,Y,No,18,3,2,80,1,19,6,3,3,3,1,3
25,Yes,Non-Travel,306,Research & Development,29,4,Human Resources,1,397,1,Male,46,2,4,Healthcare Representative,2,Married,17396,3116,7,Y,Yes,18,3,4,80,1,3,2,4,3,2,2,3
53,Yes,Travel_Frequently,692,Sales,2,3,Life Sciences,1,398,2,Male,91,1,5,Sales Representative,1,Divorced,16276,24941,1,Y,No,9,3,3,80,0,36,3,4,12,8,6,8
50,No,Travel_Rarely,1163,Sales,11,2,Marketing,1,399,3,Female,65,1,1,Sales Representative,3,Single,16107,20846,6,Y,No,24,4,2,80,3,30,2,1,6,3,0,4
32,No,Non-Travel,499,Research & Development,7,3,Human Resources,1,400,3,Male,30,2,3,Laboratory Technician,4,Married,19626,18002,8,Y,No,5,4,4,80,1,14,6,2,6,1,0,6
25,No,Travel_Frequently,1138,Sales,22,4,Technical Degree,1,401,1,Male,72,3,2,Sales Executive,4,Married,7135,11047,1,Y,Yes,19,3,1,80,2,5,1,3,3,3,1,3
58,No,Travel_Rarely,1157,Sales,5,2,Human Resources,1,402,2,Male,57,4,2,Sales Executive,2,Single,4906,2104,7,Y,No,18,3,1,80,2,37,5,4,16,5,2,4
58,No,Travel_Rarely,705,Human Resources,22,3,Technical Degree,1,403,4,Male,42,4,3,Human Resources,3,Divorced,17760,9173,7,Y,Yes,8,4,2,80,1,39,0,4,13,10,5,9
38,No,Travel_Frequently,1251,Research & Development,8,4,Other,1,404,4,Male,71,4,4,Manufacturing Director,4,Married,3992,10572,0,Y,No,15,4,4,80,3,18,0,3,9,9,3,7
32,No,Travel_Frequently,140,Sales,7,1,Marketing,1,405,1,Female,32,3,2,Sales Representative,1,Divorced,19687,14425,1,Y,Yes,7,4,2,80,1,14,4,3,14,6,2,10
52,No,Non-Travel,1093,Research & Development,18,2,Marketing,1,406,2,Female,35,1,3,Research Director,2,Divorced,15039,7142,3,Y,Yes,14,4,1,80,3,30,5,3,2,1,1,2
42,No,Non-Travel,762,Research & Development,1,3,Life Sciences,1,407,4,Female,84,3,5,Research Scientist,2,Single,12229,18788,8,Y,No,5,4,1,80,3,24,5,3,5,2,2,4
45,Yes,Travel_Rarely,1283,Sales,1,4,Human Resources,1,408,4,Male,33,3,3,Sales Representative,1,Single,9342,15020,7,Y,Yes,12,4,3,80,1,28,1,3,13,6,1,8
28,Yes,Travel_Frequently,791,Research & Development,24,5,Medical,1,409,3,Male,49,1,4,Laboratory Technician,2,Married,12205,3196,9,Y,Yes,15,4,4,80,3,7,2,4,2,2,2,2
48,No,Non-Travel,1114,Research & Development,17,4,Other,1,410,4,Male,51,2,2,Manufacturing Director,4,Single,15899,22518,1,Y,No,21,4,1,80,0,27,0,3,7,7,1,1
35,No,Travel_Frequently,531,Human Resources,22,3,Human Resources,1,411,3,Female,72,1,2,Human Resources,4,Divorced,17167,6434,3,Y,Yes,10,4,2,80,2,17,3,2,12,9,4,8
18,No,Travel_Rarely,1403,Human Resources,4,2,Medical,1,412,3,Female,58,2,5,Human Resources,3,Divorced,13483,13303,0,Y,No,25,3,4,80,3,1,2,3,1,1,1,1
53,No,Travel_Rarely,1361,Research & Development,19,5,Medical,1,413,2,Male,90,2,3,Laboratory Technician,1,Single,11084,8858,1,Y,No,10,3,2,80,1,32,1,2,17,10,6,6
38,No,Travel_Rarely,827,Sales,17,2,Human Resources,1,414,2,Male,69,2,4,Sales Representative,3,Single,17547,19104,1,Y,No,15,3,2,80,2,17,4,4,17,7,6,7
34,No,Travel_Rarely,466,Sales,25,4,Other,1,415,1,Male,31,2,1,Sales Executive,3,Divorced,14261,8417,5,Y,No,19,4,3,80,2,17,2,1,14,4,3,7
18,Yes,Travel_Rarely,1069,Sales,21,3,Other,1,416,2,Female,99,1,1,Sales Representative,2,Single,7694,5404,0,Y,Yes,6,4,2,80,2,1,3,1,1,1,1,1
58,Yes,Travel_Rarely,1460,Sales,27,1,Human Resources,1,417,2,Male,81,2,5,Sales Executive,3,Married,2464,15643,5,Y,Yes,6,3,1,80,0,41,3,2,6,6,5,6
30,No,Travel_Rarely,285,Sales,15,1,Marketing,1,418,2,Female,53,1,3,Sales Manager,1,Single,5809,4831,9,Y,Yes,10,4,2,80,0,13,3,3,3,3,3,2
33,No,Travel_Rarely,485,Human Resources,23,2,Other,1,419,4,Female,64,3,3,Human Resources,3,Divorced,9404,8528,4,Y,No,10,4,1,80,0,12,2,4,9,3,3,7
59,No,Travel_Frequently,285,Human Resources,14,2,Life Sciences,1,420,3,Female,95,4,2,Manager,1,Divorced,10812,8904,5,Y,Yes,13,3,1,80,1,42,3,2,10,4,4,9
38,No,Travel_Frequently,483,Human Resources,12,4,Other,1,421,1,Female,75,2,3,Human Resources,4,Divorced,5283,12036,0,Y,No,10,4,4,80,0,17,5,4,14,8,5,6
33,No,Non-Travel,1314,Sales,30,3,Human Resources,1,422,2,Female,33,3,4,Sales Representative,2,Divorced,15131,7374,3,Y,Yes,21,3,2,80,2,15,6,3,4,4,4,4
37,No,Non-Travel,994,Research & Development,29,4,Technical Degree,1,423,4,Male,41,1,1,Manufacturing Director,2,Married,8662,10019,2,Y,No,9,4,3,80,1,17,3,1,10,2,2,4
48,No,Travel_Rarely,810,Sales,25,2,Life Sciences,1,424,2,Female,92,2,3,Sales Executive,2,Married,4348,23950,5,Y,Yes,23,3,3,80,1,28,2,3,14,10,6,9
43,No,Travel_Rarely,737,Sales,14,2,Medical,1,425,4,Male,79,3,1,Sales Executive,2,Divorced,11337,24127,1,Y,Yes,20,3,2,80,1,23,5,4,13,3,3,3
23,No,Non-Travel,211,Sales,19,1,Other,1,426,3,Female,68,4,2,Sales Executive,4,Divorced,15843,15925,8,Y,Yes,13,3,3,80,2,4,0,3,4,1,1,4
52,No,Non-Travel,181,Research & Development,17,1,Medical,1,427,3,Female,45,1,5,Research Director,3,Divorced,11231,18043,9,Y,No,19,4,4,80,2,35,5,3,15,7,0,8
19,No,Travel_Rarely,609,Sales,21,3,Marketing,1,428,2,Female,52,2,4,Sales Executive,4,Single,14983,4754,0,Y,No,22,3,4,80,2,1,2,3,1,1,0,1
33,Yes,Travel_Rarely,626,Sales,17,1,Marketing,1,429,3,Female,40,3,2,Sales Executive,2,Single,8027,16202,1,Y,No,8,3,1,80,0,13,4,3,10,7,6,1
45,Yes,Non-Travel,1445,Human Resources,22,2,Marketing,1,430,1,Female,46,3,5,Human Resources,2,Divorced,15576,11003,4,Y,No,13,4,2,80,3,25,5,1,1,1,1,1
57,No,Travel_Frequently,1010,Human Resources,13,5,Technical Degree,1,431,4,Female,49,2,5,Manager,3,Divorced,13349,17137,7,Y,Yes,20,3,4,80,2,39,5,1,1,1,1,1
53,Yes,Travel_Rarely,1256,Human Resources,15,2,Other,1,432,2,Female,85,4,3,Manager,4,Single,13522,15611,7,Y,Yes,5,4,2,80,2,31,4,4,5,5,2,5
31,Yes,Travel_Rarely,1460,Research & Development,25,5,Marketing,1,433,4,Male,70,2,4,Laboratory Technician,4,Single,5461,18459,3,Y,No,22,4,4,80,3,12,6,3,12,5,5,6
29,No,Travel_Rarely,383,Sales,19,1,Human Resources,1,434,3,Female,94,1,2,Sales Representative,2,Married,9346,4638,6,Y,Yes,24,4,2,80,0,10,5,4,10,4,0,10
19,Yes,Non-Travel,1282,Research & Development,16,5,Medical,1,435,2,Female,89,2,3,Manufacturing Director,4,Divorced,8783,17046,3,Y,Yes,12,4,1,80,1,1,6,3,1,1,1,1
22,No,Travel_Rarely,222,Human Resources,3,1,Other,1,436,4,Male,67,4,5,Manager,4,Divorced,17755,15054,6,Y,No,6,4,1,80,3,2,1,1,2,2,0,2
55,No,Non-Travel,1106,Sales,26,2,Marketing,1,437,3,Male,61,4,3,Sales Manager,4,Divorced,17015,10519,7,Y,Yes,15,4,3,80,1,34,4,3,9,2,2,2
27,Yes,Travel_Frequently,363,Human Resources,6,2,Marketing,1,438,2,Female,48,3,3,Manager,1,Single,7060,21904,9,Y,Yes,14,4,2,80,2,10,1,3,10,8,7,5
50,No,Travel_Frequently,877,Sales,12,5,Medical,1,439,3,Female,31,2,2,Sales Manager,2,Married,17859,23913,6,Y,Yes,7,4,2,80,2,31,2,2,6,6,6,3
40,Yes,Travel_Rarely,1201,Research & Development,22,5,Other,1,440,3,Female,40,2,2,Healthcare Representative,2,Married,19522,3834,0,Y,No,19,3,2,80,1,21,5,2,4,4,1,4
56,Yes,Travel_Frequently,1199,Human Resources,10,3,Life Sciences,1,441,4,Female,36,2,1,Human Resources,1,Divorced,5220,12448,0,Y,Yes,25,3,4,80,1,35,3,1,8,4,4,8
55,No,Non-Travel,933,Human Resources,24,4,Marketing,1,442,4,Male,64,3,5,Human Resources,3,Divorced,10249,18141,7,Y,Yes,25,3,3,80,3,38,6,3,7,7,7,1
53,No,Travel_Frequently,1007,Research & Development,16,4,Life Sciences,1,443,1,Female,73,2,1,Manufacturing Director,2,Divorced,5098,22902,7,Y,No,22,3,2,80,2,32,4,3,6,2,2,5
51,No,Non-Travel,1070,Research & Development,7,3,Human Resources,1,444,3,Female,83,4,2,Healthcare Representative,3,Single,18923,10827,6,Y,No,12,4,2,80,2,30,2,3,6,6,2,6
38,No,Non-Travel,527,Sales,14,4,Human Resources,1,445,4,Female,62,3,1,Sales Representative,4,Married,8626,11659,5,Y,Yes,16,3,3,80,3,21,6,2,5,5,4,1
46,No,Non-Travel,221,Research & Development,25,1,Medical,1,446,3,Female,42,3,4,Research Director,4,Single,14288,3838,6,Y,Yes,25,4,3,80,3,29,3,1,16,4,4,10
22,Yes,Travel_Frequently,696,Research & Development,3,4,Medical,1,447,4,Female,32,3,3,Healthcare Representative,2,Divorced,19400,6602,7,Y,Yes,7,4,2,80,1,1,3,3,1,1,1,1
39,No,Travel_Frequently,133,Human Resources,14,3,Marketing,1,448,3,Male,85,4,2,Human Resources,3,Divorced,14238,3051,6,Y,Yes,21,4,1,80,0,20,4,1,16,1,0,9
25,Yes,Travel_Frequently,1426,Sales,14,1,Human Resources,1,449,4,Male,73,1,2,Sales Manager,3,Divorced,7953,16878,4,Y,Yes,21,4,1,80,0,6,0,4,6,3,3,2
45,No,Travel_Frequently,522,Human Resources,22,2,Human Resources,1,450,2,Male,69,1,5,Manager,3,Married,6858,7950,3,Y,No,8,3,1,80,3,27,6,3,12,10,2,4
60,Yes,Travel_Rarely,879,Sales,1,3,Medical,1,451,2,Male,36,2,2,Sales Representative,4,Single,8834,16641,2,Y,Yes,19,4,1,80,1,41,1,1,4,4,0,4
31,No,Non-Travel,114,Human Resources,3,5,Marketing,1,452,3,Male,78,3,4,Manager,3,Married,2529,15763,8,Y,No,17,3,1,80,1,11,6,4,11,5,1,8
23,No,Non-Travel,179,Human Resources,6,1,Marketing,1,453,4,Female,37,3,1,Manager,2,Married,17394,21536,9,Y,Yes,11,4,4,80,1,1,1,2,1,1,1,1
60,No,Travel_Rarely,158,Research & Development,21,1,Medical,1,454,4,Male,90,1,2,Manufacturing Director,2,Married,12865,3121,5,Y,No,9,4,2,80,2,40,0,1,20,6,0,1
23,No,Non-Travel,362,Sales,28,1,Technical Degree,1,455,4,Female,71,1,5,Sales Representative,4,Single,10416,23508,9,Y,Yes,22,4,2,80,3,6,1,2,1,1,1,1
27,No,Non-Travel,1158,Research & Development,8,1,Other,1,456,2,Male,64,3,3,Manufacturing Director,1,Divorced,19036,6315,4,Y,Yes,15,4,4,80,0,6,6,1,6,6,6,6
18,No,Travel_Frequently,1028,Research & Development,16,1,Medical,1,457,3,Male,63,3,3,Manufacturing Director,3,Divorced,9039,19887,7,Y,No,19,3,2,80,0,1,2,3,1,1,1,1
47,Yes,Travel_Frequently,1227,Sales,1,3,Human Resources,1,458,4,Male,67,4,3,Sales Executive,1,Divorced,5941,6138,8,Y,Yes,16,4,2,80,3,26,6,4,4,4,4,2
32,Yes,Travel_Frequently,1493,Human Resources,12,3,Human Resources,1,459,4,Male,51,2,5,Human Resources,2,Single,5281,22804,8,Y,No,25,3,3,80,0,11,3,1,11,3,3,3
